Well_Name,Treatment,Sample,Sex,Mouse_ID,Run,Full_name,,Well_Name2,Count
D04,DMSO_+FBS,F1,Female,0,R4,R4_F1_DMSO_+FBS,,D04,379
D05,DMSO_-FBS,F1,Female,0,R4,R4_F1_DMSO_-FBS,,D05,313
D06,DMSO_-FBS,F1,Female,0,R4,R4_F1_DMSO_-FBS,,D06,257
D07,24hrTg_-FBS,F1,Female,0,R4,R4_F1_24hrTg_-FBS,,D07,74
D08,24hrTg_-FBS,F1,Female,0,R4,R4_F1_24hrTg_-FBS,,D08,222
D09,24hrTg_-FBS,F1,Female,0,R4,R4_F1_24hrTg_-FBS,,D09,158
D10,2hrTg_-FBS,F1,Female,0,R4,R4_F1_2hrTg_-FBS,,D10,90
D11,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,D11,12
D12,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
E02,DMSO_+FBS,F2,Female,0,R4,R4_F2_DMSO_+FBS,,E02,650
E03,DMSO_+FBS,F2,Female,0,R4,R4_F2_DMSO_+FBS,,E03,753
E04,DMSO_+FBS,F2,Female,0,R4,R4_F2_DMSO_+FBS,,E04,592
E05,DMSO_-FBS,F2,Female,0,R4,R4_F2_DMSO_-FBS,,E05,528
E06,DMSO_-FBS,F2,Female,0,R4,R4_F2_DMSO_-FBS,,E06,632
E07,24hrTg_-FBS,F2,Female,0,R4,R4_F2_24hrTg_-FBS,,E07,713
E08,24hrTg_-FBS,F2,Female,0,R4,R4_F2_24hrTg_-FBS,,E08,732
E09,24hrTg_-FBS,F2,Female,0,R4,R4_F2_24hrTg_-FBS,,E09,666
E10,2hrTg_-FBS,F2,Female,0,R4,R4_F2_2hrTg_-FBS,,E10,398
E11,2hrTg_-FBS,F2,Female,0,R4,R4_F2_2hrTg_-FBS,,E11,280
E12,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F02,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F03,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F04,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F05,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F06,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F07,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F08,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F09,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F10,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F11,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
F12,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
G02,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
G03,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
G04,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
G05,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
G06,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
G07,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
G08,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
G09,OPP-,F2,Female,0,R4,R4_F2_OPP-,,G09,500
G10,OPP-,F2,Female,0,R4,R4_F2_OPP-,,G10,639
G11,OPP-,M2,Male,0,R4,R4_M2_OPP-,,G11,1157
G12,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H02,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H03,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H04,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H05,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H06,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H07,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H08,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H09,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H10,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H11,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
H12,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
