Well_Name,Treatment,Sample,Sex,Mouse_ID,Run,Full_name,,Well_Name2,Count
B02,DMSO_+FBS,M1,Male,0,R4,R4_M1_DMSO_+FBS,,B02,800
B03,DMSO_+FBS,M1,Male,0,R4,R4_M1_DMSO_+FBS,,B03,662
B04,DMSO_+FBS,M1,Male,0,R4,R4_M1_DMSO_+FBS,,B04,630
B05,DMSO_-FBS,M1,Male,0,R4,R4_M1_DMSO_-FBS,,B05,720
B06,DMSO_-FBS,M1,Male,0,R4,R4_M1_DMSO_-FBS,,B06,212
B07,24hrTg_-FBS,M1,Male,0,R4,R4_M1_24hrTg_-FBS,,B07,114
B08,24hrTg_-FBS,M1,Male,0,R4,R4_M1_24hrTg_-FBS,,B08,133
B09,24hrTg_-FBS,M1,Male,0,R4,R4_M1_24hrTg_-FBS,,B09,103
B10,2hrTg_-FBS,M1,Male,0,R4,R4_M1_2hrTg_-FBS,,B10,141
B11,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,B11,747
B12,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
C02,DMSO_+FBS,M2,Male,0,R4,R4_M2_DMSO_+FBS,,C02,738
C03,DMSO_+FBS,M2,Male,0,R4,R4_M2_DMSO_+FBS,,C03,535
C04,DMSO_+FBS,M2,Male,0,R4,R4_M2_DMSO_+FBS,,C04,442
C05,DMSO_-FBS,M2,Male,0,R4,R4_M2_DMSO_-FBS,,C05,446
C06,DMSO_-FBS,M2,Male,0,R4,R4_M2_DMSO_-FBS,,C06,183
C07,24hrTg_-FBS,M2,Male,0,R4,R4_M2_24hrTg_-FBS,,C07,346
C08,24hrTg_-FBS,M2,Male,0,R4,R4_M2_24hrTg_-FBS,,C08,327
C09,2hrTg_-FBS,M2,Male,0,R4,R4_M2_2hrTg_-FBS,,C09,219
C10,2hrTg_-FBS,M2,Male,0,R4,R4_M2_2hrTg_-FBS,,C10,202
C11,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,C11,2210
C12,NA,NA,#N/A,#N/A,R4,R4_NA_NA,,,
D02,DMSO_+FBS,F1,Female,0,R4,R4_F1_DMSO_+FBS,,D02,362
D03,DMSO_+FBS,F1,Female,0,R4,R4_F1_DMSO_+FBS,,D03,243
