Gene,RB01,RB02,RB03,RB04,RB05,RB06,RB07,RB08,RB09,RB10,RB11,RB12,RB13,RB14,RB15,RB16,RB17
Cdh1,16461,7306,8317,17773,18962,22316,15721,26568,5055,10278,5720,9004,8016,6948,4655,9287,9463
Tango6,359,143,157,328,347,378,251,545,71,136,93,137,144,124,67,103,174
Has3,21,4,3,22,16,17,14,26,1,5,5,4,8,3,9,0,10
Chtf8,3630,1545,1787,3848,4357,4433,3510,5640,870,1880,1221,1690,1664,1168,858,1353,1925
Cirh1a,1511,586,761,1388,1586,1641,1328,2036,304,638,401,573,597,440,311,428,828
Sntb2,476,166,234,453,512,541,419,656,127,250,148,207,183,178,120,191,219
Vps4a,2284,817,1154,2332,2642,2861,2020,3279,574,1121,683,985,994,805,544,955,1296
Pdf,934,370,462,871,978,1149,806,1299,201,463,291,432,407,316,234,341,478
Cog8,1539,691,813,1497,1774,1964,1263,2212,316,707,415,608,651,446,291,491,646
Nip7,1032,354,489,994,1149,1073,826,1325,221,408,247,398,399,303,199,331,524
Tmed6,710,332,459,752,920,872,696,1021,176,366,216,325,312,313,191,247,443
Terf2,1593,621,772,1423,1644,1832,1454,2331,352,801,517,653,729,533,340,628,717
Mir7075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyb5b,14432,5699,7102,13170,15555,17075,12454,20629,2629,5542,3558,5346,5484,4163,2704,4492,5710
Nfat5,2658,955,1527,2613,2300,3131,2497,4225,814,1428,904,1289,1187,983,649,1241,1363
Nqo1,494,211,307,473,567,510,522,700,133,247,236,271,283,213,174,192,272
Nob1,895,381,384,941,1066,972,754,1197,216,443,210,358,393,292,219,329,398
Wwp2,3301,1371,1568,3032,3288,3651,2699,4545,764,1542,974,1381,1403,1091,757,1133,1532
Mir140,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
Psmd7,4004,1642,2121,4235,4865,4542,3572,5635,961,1969,1203,1801,1880,1461,1030,1618,2245
Lncbate1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Zfhx3,417,139,223,487,396,527,267,699,119,228,97,190,209,122,99,207,176
Mir3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D030068K23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm1943,4,3,0,10,5,5,62,4,16,30,16,29,1,12,1,28,35
Pmfbp1,8,1,1,3,6,2,0,2,0,0,0,0,1,3,0,0,0
Dhx38,1977,819,931,1836,1976,2306,1507,2617,428,978,502,857,768,656,444,673,799
Txnl4b,325,127,168,327,397,380,271,433,71,172,138,139,148,85,103,127,169
Hp,1,0,1,2,2,0,3,0,1,1,0,0,0,4,0,0,1
Dhodh,394,178,196,440,510,496,356,623,75,225,97,174,172,120,104,139,172
Pkd1l3,15,5,19,34,32,23,5,31,4,7,10,9,11,17,3,9,8
Ist1,3043,1225,1518,2975,3232,3707,2725,4578,756,1553,909,1338,1319,1056,744,1110,1550
Zfp821,697,305,358,646,732,865,630,1135,182,376,198,324,324,208,187,250,326
Atxn1l,2983,1087,1358,2647,2641,3158,2395,3922,674,1495,801,1211,1335,931,716,1144,1342
Ap1g1,5006,1777,2696,4300,4658,5251,4340,6535,1150,2287,1374,2059,2092,1714,1158,1484,2430
Snord71,0,0,0,0,0,2,0,2,1,0,2,0,0,1,0,0,0
Phlpp2,1146,453,532,1072,1091,1254,984,1656,299,622,367,504,540,367,276,449,565
Marveld3,1001,413,488,948,1115,1416,844,1501,241,641,357,562,456,366,256,485,481
Tat,1626,518,819,1463,1748,1977,1437,2257,414,683,433,550,570,419,405,295,855
Chst4,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8030455M16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp612,1969,660,906,1390,1603,2181,1830,2868,487,1097,636,899,847,700,452,773,852
Calb2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Cmtr2,1072,347,491,958,1024,1041,868,1355,199,385,264,361,428,275,213,323,463
Hydin,5,3,4,17,6,15,11,6,0,5,3,1,5,1,1,1,3
Gm21283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vac14,1876,884,786,1541,1713,2062,1503,2445,438,967,530,809,681,559,413,576,758
Mtss1l,3597,1470,1814,3476,3981,4875,3148,5475,777,2299,1087,1617,1643,1202,948,1208,1595
Il34,70,42,34,147,136,94,64,102,18,23,14,16,30,20,17,28,48
Sf3b3,5403,2265,2730,5323,5796,6495,4983,8256,1163,2496,1535,1988,2216,1809,1186,1806,2764
Snord111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cog4,1922,714,903,1999,2104,2303,1771,2942,526,1096,713,953,844,607,490,742,1063
Fuk,543,192,295,592,535,722,466,682,113,299,147,230,234,168,134,203,206
St3gal2,609,211,304,676,758,768,532,857,160,398,198,289,297,220,141,228,297
Ddx19a,1704,744,881,1757,1842,2199,1578,2718,408,936,525,786,815,563,439,601,874
Ddx19b,2171,674,1003,1852,2066,2082,1746,2685,551,921,575,879,958,752,551,756,1072
Mir3473d,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aars,15127,6121,7822,16559,18631,18761,14235,23594,3488,6857,4108,5850,6382,4877,3689,4595,8101
Exosc6,127,42,62,188,229,207,129,259,26,51,29,63,63,37,25,73,66
Clec18a,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pdpr,498,194,253,437,368,542,368,666,115,316,143,193,268,175,105,218,218
9430091E24Rik,34,8,11,23,32,41,39,47,10,20,16,22,17,14,6,16,17
Glg1,6141,2411,3149,5904,5654,7356,5166,8811,1461,3233,1673,2497,2586,2109,1607,2539,2990
Rfwd3,989,360,502,885,1095,1118,860,1556,254,568,350,500,455,364,235,463,504
Mlkl,135,70,103,249,255,194,146,223,73,82,57,92,69,73,50,94,153
Fa2h,26,5,20,20,28,34,15,28,6,3,4,17,3,13,5,7,11
Wdr59,1362,519,667,1143,1269,1473,1143,1832,293,610,379,532,499,407,300,432,529
Mir1957b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Znrf1,1349,571,650,1591,1800,1737,1380,2033,348,690,341,535,492,399,285,461,645
Ldhd,829,340,386,882,1000,910,739,1248,189,489,229,366,355,287,184,414,322
Zfp1,536,225,265,494,582,623,455,805,123,253,156,217,228,166,98,222,253
Ctrb1,14314,8646,13748,55189,65644,102616,30352,47470,3205,4403,936,10301,9116,11395,5284,35663,40630
Mir7076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bcar1,4898,2091,2313,4538,5070,5901,3917,6215,854,2094,1102,1767,1810,1306,955,1303,1674
Cfdp1,2661,1086,1265,2809,3291,3313,2570,4196,607,1286,802,1139,1160,933,630,1142,1469
Tmem170,372,117,187,298,364,397,324,593,110,228,148,198,169,129,90,202,212
Chst5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tmem231,1155,487,612,1129,1273,1568,1075,1832,363,835,458,713,586,456,300,630,518
