"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"DNTTIP2",3.37653755947706e-16,0.622202589885009,0.866,0.756,2.06715005928745e-11
"NDUFB2",3.95706288294922e-16,-0.52434002579076,0.97,0.991,2.42255346757034e-11
"MLF1",4.22649162696306e-16,0.696892009311318,0.624,0.36,2.58750043894306e-11
"FAM174A",4.2357425221494e-16,0.492602134448729,0.628,0.4,2.59316392948508e-11
"PPIB",5.18116389310356e-16,0.261856410486886,0.917,0.747,3.17196034699693e-11
"HNRNPA1",6.08770911996019e-16,0.520288683737946,0.944,0.893,3.72695640033083e-11
"TNRC6B",7.27627778878744e-16,-0.572001637976971,0.753,0.924,4.45461002507356e-11
"CEBPG",7.88573433293964e-16,0.352570468553297,0.607,0.316,4.82772541596898e-11
"NDUFB1",8.22164141945199e-16,-0.788715179582187,0.92,0.969,5.0333710934027e-11
"CST3",9.22992582524094e-16,0.265567035569535,0.978,0.933,5.65065288947075e-11
"BEX4",9.94160088765699e-16,0.499993875144451,0.905,0.804,6.08634747943249e-11
"PPP2CA",1.23721953055248e-15,0.456780400611543,0.854,0.711,7.57438168799533e-11
"ARG2",1.64396465059439e-15,0.298085126465268,0.545,0.258,1.00645159874039e-10
"NEU1",1.83789080890488e-15,0.58841155792379,0.779,0.658,1.12517513211966e-10
"MAP1LC3A",1.85356149502977e-15,0.316925479765672,0.698,0.458,1.13476888287218e-10
"ALDOB",2.06109338880687e-15,-1.14146819314921,0.089,0.276,1.26182198356145e-10
"CHGA",2.13590335692874e-15,0.433455696886128,0.985,0.92,1.30762139414535e-10
"CXXC4",2.49127972082774e-15,-0.567289227740717,0.5,0.742,1.52518635788795e-10
"ZNF165",2.85549237178214e-15,0.481619327252499,0.514,0.236,1.74816098492874e-10
"ATP6V0E2",2.9610167689436e-15,0.428917070487125,0.756,0.56,1.81276407611496e-10
"S100A11",3.33452605682864e-15,-0.454619008746471,0.666,0.853,2.04143019725106e-10
"SPINT2",3.5231342166994e-15,0.341627330009213,0.872,0.724,2.15689799880554e-10
"PGAM1",3.91810540342429e-15,0.341650860323663,0.787,0.609,2.39870330903038e-10
"HM13",4.26539570532183e-15,0.472829504120603,0.852,0.733,2.61131790475508e-10
"SDF2L1",4.74207749345432e-15,0.365678851115975,0.71,0.498,2.90314726226767e-10
"SBDSP1",4.91427230317025e-15,0.363450896814984,0.657,0.409,3.00856664672386e-10
"SMIM6",5.57227409137224e-15,0.345387954706476,0.414,0.142,3.411401921479e-10
"MT-ATP8",6.67508374551372e-15,-0.433934532101989,0.997,0.991,4.08655301984096e-10
"RBM3",6.77370778490353e-15,0.600811562311725,0.807,0.702,4.14693164299579e-10
"UCHL1",7.30664045268549e-15,0.300638572238336,0.983,0.96,4.47319835153859e-10
"TMEM9B",1.03814500614193e-14,0.453256311896318,0.708,0.52,6.35562754210151e-10
"COX6A1",1.13415059213768e-14,-0.272854065984701,0.962,0.982,6.94338334012606e-10
"PSMD7",1.43644614717285e-14,0.338302366218847,0.871,0.733,8.79406695760689e-10
"TUBA1C",1.6883495605906e-14,0.277971101487494,0.669,0.413,1.03362448448917e-09
"CLU",1.89898284597615e-14,0.455890874582798,0.959,0.796,1.16257628813506e-09
"SELENOK",1.99009034117131e-14,0.424469465496565,0.977,0.956,1.21835320776849e-09
"HERPUD1",2.01782951517429e-14,0.505644683122665,0.944,0.862,1.23533540748485e-09
"TUBA1A",2.24708014585653e-14,0.811341002466742,0.975,0.978,1.37568493609482e-09
"ATP5F1B",2.28562185066458e-14,0.375684427876905,0.963,0.951,1.39928055319536e-09
"PSAP",2.64138772992655e-14,0.478704150817158,0.993,0.951,1.61708398213833e-09
"PNPLA8",2.666319979859e-14,0.511618843506253,0.738,0.533,1.63234775486948e-09
"PLPP5",2.72308585206277e-14,0.429942293292615,0.864,0.76,1.66710038949135e-09
"STRAP",2.84180072277558e-14,0.389174720298138,0.907,0.796,1.73977882049043e-09
"UBC",2.98878963612093e-14,0.689914690851256,0.992,0.996,1.8297669031296e-09
"CISD2",3.54312669626776e-14,0.266163049930188,0.817,0.72,2.16913759472208e-09
"PLAAT3",3.85957189874093e-14,0.375458304224925,0.697,0.502,2.36286851212818e-09
"MOAP1",4.22548638189918e-14,0.560310234934201,0.579,0.36,2.5868850178625e-09
"HNRNPK",4.78608000711789e-14,0.380722529744192,0.886,0.818,2.93008604115764e-09
"SEC61A1",4.98138954288005e-14,0.491637282299657,0.799,0.644,3.0496564920466e-09
"CLTRN",5.10693053752838e-14,0.308996545960067,0.384,0.129,3.12651394438025e-09
"RFX2",5.72050397385897e-14,0.256341320487701,0.603,0.338,3.5021497378362e-09
"MZT2B",7.02547869631168e-14,-0.327641314499901,0.822,0.867,4.30106831266897e-09
"DCP1A",7.18859966066991e-14,0.594556452932857,0.663,0.467,4.40093259825873e-09
"HNRNPC",7.31550226950843e-14,0.400307702040657,0.946,0.916,4.47862364441576e-09
"PLD3",7.99358363052815e-14,0.441907029221968,0.87,0.782,4.89375183444564e-09
