,GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
Inpp5d,Inpp5d,325.5780805,0.229460423,0.072225953,3.176980195,0.001488172,0.006759907,OK
Atg16l1,Atg16l1,1017.255282,-0.026886065,0.03846434,-0.698986781,0.484560292,0.615784934,OK
Scarna6,Scarna6,0.801755924,-0.032053867,0.098279404,-0.326150403,0.744310564,NaN,Low
Sag,Sag,7.242947565,-0.082640542,0.162218819,-0.509438688,0.610444764,NaN,Low
Dgkd,Dgkd,3324.753426,0.090619288,0.028505109,3.179054292,0.001477564,0.006720597,OK
Usp40,Usp40,601.0330544,0.205591951,0.04764176,4.315372684,1.59E-05,0.000166375,OK
Ugt1a10,Ugt1a10,0.125175092,0.004721364,0.034864492,0.135420415,0.892279484,NaN,Low
Ugt1a9,Ugt1a9,45.45584784,0.005109315,0.162535898,0.031434995,0.974922633,0.984366369,OK
Ugt1a7c,Ugt1a7c,22.71315142,-0.089238948,0.157129028,-0.567934198,0.57007965,0.68852931,OK
Ugt1a6b,Ugt1a6b,3.090826249,0.083877659,0.148216863,0.565911711,0.5714538,NaN,Low
Ugt1a6a,Ugt1a6a,626.2574502,0.116660384,0.082929919,1.406734567,0.159506112,0.271816273,OK
Ugt1a5,Ugt1a5,0.031612035,-0.004135336,0.029935015,-0.138143773,0.890126791,NaN,Low
Ugt1a2,Ugt1a2,0.10726819,0.004816275,0.032969525,0.146082639,0.883856151,NaN,Low
Dnajb3,Dnajb3,31.28394482,0.008178481,0.141664459,0.057731355,0.953962617,0.971985931,OK
Ugt1a1,Ugt1a1,8.478715046,-0.761447512,0.159969959,-4.759940658,1.94E-06,NaN,Low
Mroh2a,Mroh2a,5.166822081,-0.200571057,0.161120538,-1.244850968,0.213186537,NaN,Low
Hjurp,Hjurp,193.914801,-0.030192419,0.091219604,-0.330986078,0.740655002,0.825307697,OK
6430706D22Rik,6430706D22Rik,0,NaN,NaN,NaN,NaN,NaN,Low
A730008H23Rik,A730008H23Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Trpm8,Trpm8,1.559900604,-0.046395518,0.120412348,-0.385305319,0.700011221,NaN,Low
Spp2,Spp2,0.895429216,-0.083697763,0.100973882,-0.828905075,0.407158123,NaN,Low
Glrp1,Glrp1,0.280429454,0.019396654,0.052707426,0.368006094,0.712868691,NaN,Low
Gm19589,Gm19589,0.054631558,-0.011645716,0.030431236,-0.38268957,0.701949949,NaN,Low
Arl4c,Arl4c,165.3174814,-0.070054908,0.08804685,-0.795654909,0.426232642,0.562113958,OK
Platr5,Platr5,0,NaN,NaN,NaN,NaN,NaN,Low
1700067G17Rik,1700067G17Rik,0.221527818,-0.001746169,0.044576148,-0.039172711,0.96875269,NaN,Low
Sh3bp4,Sh3bp4,942.0778926,0.143545213,0.06655726,2.156717599,0.031027675,0.076247505,OK
