,GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
Vmn1r203,Vmn1r203,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r204,Vmn1r204,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r205,Vmn1r205,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r206,Vmn1r206,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r207-ps,Vmn1r207-ps,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r208,Vmn1r208,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r209,Vmn1r209,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r210,Vmn1r210,0.059312375,-0.012529582,0.030482764,-0.411038242,0.681044494,NaN,Low
Vmn1r211,Vmn1r211,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r212,Vmn1r212,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r213,Vmn1r213,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r214,Vmn1r214,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r215,Vmn1r215,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r216,Vmn1r216,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r217,Vmn1r217,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r218,Vmn1r218,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r219,Vmn1r219,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r220,Vmn1r220,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r221,Vmn1r221,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r222,Vmn1r222,0,NaN,NaN,NaN,NaN,NaN,Low
Vmn1r223,Vmn1r223,0,NaN,NaN,NaN,NaN,NaN,Low
4930557F10Rik,4930557F10Rik,0,NaN,NaN,NaN,NaN,NaN,Low
4933404K08Rik,4933404K08Rik,0.029656188,-0.003643991,0.029898748,-0.1218777,0.902995877,NaN,Low
4930586N03Rik,4930586N03Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Zfp322a,Zfp322a,396.0339636,0.181539232,0.066800152,2.717646986,0.006574794,0.02267233,OK
Abt1,Abt1,285.4810727,0.012204441,0.064385282,0.189553276,0.849659203,0.904064727,OK
C230035I16Rik,C230035I16Rik,10.30341781,0.422449779,0.163979556,2.576234441,0.00998829,0.03166564,OK
Btn1a1,Btn1a1,1.824287598,0.137552065,0.114260444,1.20384675,0.228648816,NaN,Low
Btn2a2,Btn2a2,0.346360434,0.025289274,0.049086556,0.515197567,0.606414969,NaN,Low
Hist1h4h,Hist1h4h,31.41012551,-0.440099421,0.152036937,-2.894687506,0.003795362,0.014652183,OK
Hist1h2af,Hist1h2af,0,NaN,NaN,NaN,NaN,NaN,Low
Hist1h3g,Hist1h3g,0.210441416,0.039989633,0.045083753,0.887007632,0.375074791,NaN,Low
Hist1h2bh,Hist1h2bh,10.4029913,-0.248025821,0.164005302,-1.512303678,0.130456626,0.2332016,OK
Hist1h3f,Hist1h3f,1.687158412,-0.245870614,0.123578041,-1.989597925,0.046635245,NaN,Low
Hist1h4f,Hist1h4f,2.05644763,-0.065079734,0.127401269,-0.510824852,0.609473706,NaN,Low
Hist1h1d,Hist1h1d,41.99193125,-0.346439561,0.135227422,-2.561903166,0.010410034,0.032722176,OK
Hist1h3e,Hist1h3e,7.981532841,-0.334663868,0.160004184,-2.091594473,0.036474807,NaN,Low
Hist1h2ae,Hist1h2ae,1.116066246,-0.1530461,0.102751459,-1.489478612,0.136361381,NaN,Low
Hist1h2bg,Hist1h2bg,21.95350026,-0.073354285,0.150690495,-0.486787739,0.62640876,0.735326178,OK
Hist1h2bf,Hist1h2bf,0.689848781,-0.028788201,0.092412135,-0.311519705,0.755405565,NaN,Low
Hist1h2ad,Hist1h2ad,4.103996443,0.155356045,0.154003047,1.008785524,0.313077505,NaN,Low
Hist1h3d,Hist1h3d,6.683759163,-0.010111638,0.163308857,-0.061917265,0.950628718,NaN,Low
Hist1h4d,Hist1h4d,7.017567456,-0.359594797,0.160961863,-2.234037238,0.025480623,NaN,Low
Hist1h2be,Hist1h2be,80.77115238,0.25046767,0.100620871,2.48922185,0.012802305,0.038392963,OK
Hist1h1e,Hist1h1e,54.51535644,-0.263912652,0.141420006,-1.866162077,0.062018693,0.130044588,OK
Hist1h2ac,Hist1h2ac,4.514896528,-0.005534654,0.154552246,-0.035810896,0.971433145,NaN,Low
Hist1h2bc,Hist1h2bc,1340.581295,-0.089991699,0.059144351,-1.521560328,0.128119284,0.229903283,OK
Hist1h1t,Hist1h1t,0.391570375,0.012303966,0.049538875,0.248369905,0.803848217,NaN,Low
Hist1h4c,Hist1h4c,16.7960225,-0.319709968,0.164308108,-1.945795439,0.051679317,0.112639924,OK
Hfe,Hfe,1026.873865,-0.177195491,0.079872961,-2.218466546,0.026523038,0.067801344,OK
Hist1h1c,Hist1h1c,1407.603074,0.122084617,0.102547541,1.190517262,0.23384315,0.362692807,OK
Hist1h3c,Hist1h3c,0.176800066,-0.04249412,0.042906823,-0.990381406,0.32198773,NaN,Low
Hist1h2bb,Hist1h2bb,2.826283226,-0.06015672,0.140489404,-0.428194003,0.668509882,NaN,Low
Hist1h2ab,Hist1h2ab,0.299552527,-0.065743828,0.050734663,-1.29583649,0.195031824,NaN,Low
Hist1h3b,Hist1h3b,0.401862825,-0.055979108,0.064926257,-0.862195211,0.388580105,NaN,Low
Hist1h4b,Hist1h4b,1.792753918,-0.342936253,0.132741017,-2.583498773,0.009780382,NaN,Low
Hist1h4a,Hist1h4a,3.050529566,-0.223680947,0.148118533,-1.510148268,0.131005596,NaN,Low
Hist1h3a,Hist1h3a,0.988715874,-0.098985899,0.075279948,-1.314903919,0.188542195,NaN,Low
Hist1h1a,Hist1h1a,1.29066799,-0.111618388,0.113765857,-0.981123784,0.326531703,NaN,Low
Trim38,Trim38,5.55278621,-0.079017194,0.152474494,-0.51823221,0.604296264,NaN,Low
Slc17a2,Slc17a2,1.78075733,-0.012173329,0.120115,-0.10134728,0.919274785,NaN,Low
Slc17a3,Slc17a3,0,NaN,NaN,NaN,NaN,NaN,Low
Slc17a1,Slc17a1,0,NaN,NaN,NaN,NaN,NaN,Low
Slc17a4,Slc17a4,21.15816253,-0.322517592,0.149531989,-2.156846795,0.031017604,0.076236372,OK
Hist1h2ba,Hist1h2ba,0,NaN,NaN,NaN,NaN,NaN,Low
Hist1h2aa,Hist1h2aa,0,NaN,NaN,NaN,NaN,NaN,Low
Scgn,Scgn,6153.188468,0.262507707,0.076429558,3.434635924,0.00059335,0.003249964,OK
Lrrc16a,Lrrc16a,694.822154,-0.098042439,0.047233684,-2.075689021,0.037922722,0.089071139,OK
Cmah,Cmah,0.620100142,-0.054015914,0.075460519,-0.715816883,0.474104426,NaN,Low
Fam65b,Fam65b,8.276093618,0.149372651,0.162169146,0.921091682,0.357002563,NaN,Low
Gm11346,Gm11346,1.182940591,-0.105181234,0.108765691,-0.967044235,0.333521921,NaN,Low
Gmnn,Gmnn,77.26862239,-0.143145604,0.099181483,-1.44326945,0.148944582,0.258366159,OK
BC005537,BC005537,3599.366534,0.034468863,0.061811879,0.557641401,0.57708928,0.69441338,OK
Acot13,Acot13,791.4440811,-0.06554374,0.047771255,-1.372033038,0.170053153,0.2849892,OK
Tdp2,Tdp2,291.2460522,0.280630246,0.07926824,3.540260831,0.000399732,0.002348381,OK
D130043K22Rik,D130043K22Rik,358.8622169,0.037471197,0.067422866,0.555763932,0.578372245,0.695536453,OK
4932702P03Rik,4932702P03Rik,0.081370785,-0.006428846,0.030097983,-0.213597232,0.830861158,NaN,Low
Aldh5a1,Aldh5a1,2089.590559,-0.484759262,0.078715829,-6.158345362,7.35E-10,3.04E-08,OK
9330162012Rik,9330162012Rik,82.54547337,0.270479041,0.09460687,2.858978844,0.004250071,0.016018083,OK
Gpld1,Gpld1,688.8636327,-0.191778469,0.072905606,-2.630503728,0.008525843,0.027910321,OK
Mrs2,Mrs2,637.9723006,0.099059364,0.043582445,2.272918908,0.023031067,0.060717466,OK
Dcdc2a,Dcdc2a,788.0704516,0.740580136,0.111643778,6.633420568,3.28E-11,2.03E-09,OK
Nrsn1,Nrsn1,228.8520769,0.040783048,0.089753037,0.454391841,0.649546824,0.754250549,OK
Gm11351,Gm11351,0,NaN,NaN,NaN,NaN,NaN,Low
1700092E19Rik,1700092E19Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Hdgfl1,Hdgfl1,0,NaN,NaN,NaN,NaN,NaN,Low
Mir3970,Mir3970,0,NaN,NaN,NaN,NaN,NaN,Low
Prl,Prl,0,NaN,NaN,NaN,NaN,NaN,Low
Prl3d1,Prl3d1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl3d2,Prl3d2,0,NaN,NaN,NaN,NaN,NaN,Low
Prl3d3,Prl3d3,0,NaN,NaN,NaN,NaN,NaN,Low
Prl3c1,Prl3c1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl3b1,Prl3b1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl3a1,Prl3a1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl6a1,Prl6a1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl8a2,Prl8a2,0,NaN,NaN,NaN,NaN,NaN,Low
Prl2b1,Prl2b1,0.031612035,-0.004135336,0.029935015,-0.138143773,0.890126791,NaN,Low
Prl8a6,Prl8a6,0,NaN,NaN,NaN,NaN,NaN,Low
Prl8a8,Prl8a8,0,NaN,NaN,NaN,NaN,NaN,Low
Prl8a9,Prl8a9,0,NaN,NaN,NaN,NaN,NaN,Low
Prl8a1,Prl8a1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl7b1,Prl7b1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl7a1,Prl7a1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl7a2,Prl7a2,0,NaN,NaN,NaN,NaN,NaN,Low
Prl7d1,Prl7d1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl7c1,Prl7c1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl2a1,Prl2a1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl2c1,Prl2c1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl4a1,Prl4a1,0,NaN,NaN,NaN,NaN,NaN,Low
Prl5a1,Prl5a1,0,NaN,NaN,NaN,NaN,NaN,Low
2610307P16Rik,2610307P16Rik,11.26828166,0.179612096,0.164372869,1.092711332,0.274520563,0.407985356,OK
Mir6368,Mir6368,0,NaN,NaN,NaN,NaN,NaN,Low
Sox4,Sox4,447.8990124,0.190748398,0.096860325,1.969314031,0.048917041,0.10777415,OK
A330102I10Rik,A330102I10Rik,6.022112778,0.180421634,0.149473216,1.20704993,0.227412916,NaN,Low
Cdkal1,Cdkal1,296.0189263,0.145976211,0.066457199,2.19654474,0.028052977,0.070718377,OK
E2f3,E2f3,167.0690851,0.087005662,0.091646642,0.949360063,0.342437515,0.479210514,OK
Mboat1,Mboat1,31.86591929,-0.149209948,0.164176363,-0.908839403,0.363434904,0.499550534,OK
Agtr1a,Agtr1a,11.09677444,0.097115253,0.16383122,0.592776226,0.55333092,0.675831947,OK
Uqcrfs1,Uqcrfs1,1612.990117,0.000794258,0.036061288,0.022025216,0.982427841,0.988968734,OK
4930519D14Rik,4930519D14Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Dusp22,Dusp22,482.6939233,0.084535038,0.060763159,1.391221907,0.164158146,0.277748639,OK
Irf4,Irf4,0.744421875,-0.132822153,0.089725009,-1.480324766,0.138786597,NaN,Low
Exoc2,Exoc2,1137.722439,0.086327021,0.042510283,2.030732693,0.042282118,0.096365689,OK
Hus1b,Hus1b,0.031612035,-0.004135336,0.029935015,-0.138143773,0.890126791,NaN,Low
4930401O12Rik,4930401O12Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Foxq1,Foxq1,5.91223187,-0.083137152,0.156507399,-0.531202698,0.595278324,NaN,Low
1700018A04Rik,1700018A04Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Foxf2,Foxf2,7.542380022,-0.107664202,0.163765236,-0.657430137,0.510904379,NaN,Low
Foxc1,Foxc1,6.865804895,-0.107091602,0.160587222,-0.666874991,0.504851987,NaN,Low
Gmds,Gmds,1226.62673,-0.064568402,0.066492639,-0.971060901,0.331517953,0.468215511,OK
Mylk4,Mylk4,0.463081525,0.025026501,0.072509321,0.345148751,0.729982545,NaN,Low
Wrnip1,Wrnip1,1219.577577,0.02712073,0.038080093,0.712202303,0.476339511,0.608258606,OK
Serpinb1a,Serpinb1a,127.8413126,-0.02554426,0.145104747,-0.176040139,0.860262409,0.910772934,OK
Serpinb1c,Serpinb1c,0,NaN,NaN,NaN,NaN,NaN,Low
Serpinb6b,Serpinb6b,10.57869597,0.106110893,0.159507707,0.665239911,0.505897057,0.635152624,OK
Serpinb9,Serpinb9,705.7440204,0.440583264,0.060514269,7.280650839,3.32E-13,3.84E-11,OK
Serpinb9b,Serpinb9b,0.704345607,0.02664341,0.080037871,0.332885046,0.739221058,NaN,Low
Serpinb1b,Serpinb1b,1.033454401,-0.155525854,0.104411131,-1.489552435,0.136341957,NaN,Low
Serpinb9c,Serpinb9c,0,NaN,NaN,NaN,NaN,NaN,Low
Serpinb9d,Serpinb9d,0,NaN,NaN,NaN,NaN,NaN,Low
Serpinb9e,Serpinb9e,0,NaN,NaN,NaN,NaN,NaN,Low
Serpinb9f,Serpinb9f,0,NaN,NaN,NaN,NaN,NaN,Low
Serpinb9g,Serpinb9g,0,NaN,NaN,NaN,NaN,NaN,Low
Gm6093,Gm6093,0,NaN,NaN,NaN,NaN,NaN,Low
Serpinb6d,Serpinb6d,0,NaN,NaN,NaN,NaN,NaN,Low
Serpinb6e,Serpinb6e,0.054083968,-0.01146671,0.030420631,-0.37693859,0.706219243,NaN,Low
Serpinb6c,Serpinb6c,0.504630245,0.060955979,0.070576409,0.863687738,0.387759451,NaN,Low
Serpinb6a,Serpinb6a,2049.66188,0.169207033,0.04071186,4.15620988,3.24E-05,0.000295618,OK
1110046J04Rik,1110046J04Rik,18.69528666,0.071588597,0.153268138,0.467080748,0.640442108,0.746956257,OK
Nqo2,Nqo2,364.3668654,0.304362934,0.06302971,4.828880467,1.37E-06,2.10E-05,OK
Ripk1,Ripk1,1135.485674,0.09837946,0.037875344,2.597453889,0.009391773,0.030170769,OK
Bphl,Bphl,511.9864495,0.247770165,0.076100163,3.255842746,0.001130563,0.005458043,OK
Tubb2a,Tubb2a,1275.447212,-0.625311361,0.105669225,-5.917629878,3.27E-09,1.12E-07,OK
4930447K03Rik,4930447K03Rik,2.083951592,0.074325892,0.119468946,0.622135661,0.533852668,NaN,Low
Tubb2b,Tubb2b,88.08255963,-0.736780058,0.149173943,-4.939066723,7.85E-07,1.31E-05,OK
Psmg4,Psmg4,175.0753722,-0.100629488,0.074846924,-1.344470595,0.178796259,0.295660885,OK
Slc22a23,Slc22a23,2355.189248,-0.063882466,0.058222957,-1.097204075,0.272552192,0.40589302,OK
Pxdc1,Pxdc1,56.71696153,-0.151988189,0.159062791,-0.955523214,0.339313172,0.475709184,OK
Gm15908,Gm15908,0.027315779,-0.003020154,0.029852003,-0.101170895,0.919414801,NaN,Low
Fam50b,Fam50b,0.164305856,-0.008402873,0.047476521,-0.176990082,0.85951618,NaN,Low
Prpf4b,Prpf4b,2458.947809,0.161369035,0.065295618,2.471360882,0.013459991,0.039955991,OK
Fam217a,Fam217a,16.64291809,0.003911339,0.160058491,0.024436934,0.980504088,0.987705356,OK
4933417A18Rik,4933417A18Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Eci3,Eci3,39.51288809,0.163075167,0.134642998,1.211167083,0.225831376,0.354058101,OK
Eci2,Eci2,1647.246455,0.21008447,0.037653075,5.579477175,2.41E-08,6.37E-07,OK
1700011B04Rik,1700011B04Rik,0,NaN,NaN,NaN,NaN,NaN,Low
1700019C18Rik,1700019C18Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Cdyl,Cdyl,221.8170628,0.075903449,0.075417616,1.006441898,0.314203048,0.450371886,OK
Rpp40,Rpp40,83.09706535,0.02722872,0.113314691,0.240292937,0.81010317,0.876618916,OK
Ppp1r3g,Ppp1r3g,0.724333621,0.022231502,0.065536277,0.339224365,0.734440716,NaN,Low
Lyrm4,Lyrm4,275.1983059,0.112691998,0.067163485,1.677875961,0.093371316,0.179176561,OK
Fars2,Fars2,465.6004511,-0.034278345,0.058243229,-0.588537862,0.556171328,0.677799939,OK
Nrn1,Nrn1,5.42770559,-0.337819276,0.158890952,-2.126107697,0.033494293,NaN,Low
F13a1,F13a1,5.658584828,0.278091563,0.161060865,1.726624048,0.084235204,NaN,Low
Ly86,Ly86,37.8530351,0.285496853,0.1313043,2.174314567,0.029681519,0.073738172,OK
Rreb1,Rreb1,867.1832135,-0.082834841,0.062120284,-1.333458837,0.182381275,0.300133638,OK
Ssr1,Ssr1,7285.430672,-0.229805458,0.051021103,-4.504125636,6.66E-06,8.17E-05,OK
Cage1,Cage1,41.11132151,-0.071717433,0.12111874,-0.592124994,0.553766891,0.676067375,OK
Riok1,Riok1,454.5288403,-0.062160269,0.061315576,-1.013776164,0.310689571,0.446819078,OK
Dsp,Dsp,2551.051626,0.088905023,0.074117898,1.199508156,0.230330415,0.359025284,OK
Snrnp48,Snrnp48,202.6088443,-0.040372413,0.080377096,-0.502287537,0.615465275,0.726311904,OK
Bmp6,Bmp6,34.76153963,-0.05953209,0.158951549,-0.374529785,0.708010201,0.800255677,OK
4930579J19Rik,4930579J19Rik,0.06689489,0.021170022,0.030075461,0.703896861,0.481497006,NaN,Low
Txndc5,Txndc5,5079.923771,-0.257441532,0.042822851,-6.011779408,1.83E-09,6.71E-08,OK
Bloc1s5,Bloc1s5,349.0790791,0.08750625,0.058979121,1.48368181,0.137893354,0.243302726,OK
Eef1e1,Eef1e1,245.7010085,-0.156495905,0.095687628,-1.635487353,0.101946924,0.191886145,OK
Slc35b3,Slc35b3,389.8515197,-0.012031374,0.055458965,-0.216941911,0.828253615,0.89016884,OK
5033403F01Rik,5033403F01Rik,18.83064489,0.236423366,0.164369854,1.438362084,0.150331345,0.260111793,OK
Ofcc1,Ofcc1,0,NaN,NaN,NaN,NaN,NaN,Low
Tfap2a,Tfap2a,2.180139385,-0.205149896,0.12264049,-1.672774593,0.094371678,NaN,Low
Gm26688,Gm26688,0.122536445,-0.027650885,0.034767669,-0.79530454,0.426436373,NaN,Low
Gcnt2,Gcnt2,1898.749166,0.011878555,0.06097927,0.1947966,0.845552184,0.90115821,OK
Pak1ip1,Pak1ip1,954.2562848,-0.092536944,0.042404895,-2.182223175,0.029093066,0.072753815,OK
Tmem14c,Tmem14c,901.6932291,-0.006393733,0.049604025,-0.128895451,0.897440376,0.935597116,OK
Mak,Mak,3.611454582,-0.053420501,0.151187525,-0.353339344,0.723834053,NaN,Low
Gcm2,Gcm2,0,NaN,NaN,NaN,NaN,NaN,Low
Elovl2,Elovl2,834.3828179,0.014978259,0.068720444,0.217959281,0.827460838,0.889594754,OK
Smim13,Smim13,522.9587336,0.102505085,0.077135718,1.328892612,0.183883402,0.302059661,OK
Nedd9,Nedd9,778.5236455,-0.085254817,0.067339254,-1.266049316,0.205495427,0.329036608,OK
Tmem170b,Tmem170b,473.6526687,0.153122116,0.056131662,2.72790988,0.006373702,0.022100747,OK
Gm5082,Gm5082,0.334979385,0.088359316,0.05162977,1.711402469,0.087006842,NaN,Low
Adtrp,Adtrp,0.4908753,-0.027073618,0.0716279,-0.377975867,0.705448522,NaN,Low
Gm10790,Gm10790,0.073206709,0.021170021,0.030075461,0.703896819,0.481497032,NaN,Low
Hivep1,Hivep1,1435.266479,0.001393661,0.042614409,0.032703977,0.973910652,0.983561118,OK
Edn1,Edn1,57.12794377,0.221482685,0.16253378,1.362687103,0.172981144,0.288314319,OK
Phactr1,Phactr1,7751.48806,-0.272724916,0.060045584,-4.541964602,5.57E-06,7.00E-05,OK
Tbc1d7,Tbc1d7,342.3925656,-0.002221653,0.071495994,-0.03107381,0.975210677,0.984440477,OK
Gfod1,Gfod1,220.3885624,-0.267816191,0.077121115,-3.472670089,0.000515308,0.002895111,OK
Sirt5,Sirt5,160.3938162,0.204455173,0.095976539,2.130261984,0.03314999,0.080255258,OK
Nol7,Nol7,785.9874374,0.013818853,0.049949734,0.276655198,0.782044877,0.855406269,OK
Ranbp9,Ranbp9,1277.967174,0.236667626,0.049825492,4.749930578,2.03E-06,2.94E-05,OK
Mcur1,Mcur1,1367.680358,0.234364963,0.044577521,5.257469689,1.46E-07,3.03E-06,OK
Rnf182,Rnf182,349.3997775,0.622559578,0.108219973,5.752723475,8.78E-09,2.66E-07,OK
Gm20751,Gm20751,9.971956183,0.18350188,0.163225444,1.124223505,0.26091822,NaN,Low
Cd83,Cd83,39.22235285,-0.260221132,0.142332051,-1.828267982,0.067509343,0.138947052,OK
Gm5083,Gm5083,0,NaN,NaN,NaN,NaN,NaN,Low
A330076C08Rik,A330076C08Rik,0.073206709,0.021170021,0.030075461,0.703896819,0.481497032,NaN,Low
1700029N11Rik,1700029N11Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Jarid2,Jarid2,663.7864442,-0.071406558,0.050495625,-1.414113741,0.157328509,0.269137451,OK
Dtnbp1,Dtnbp1,534.3372874,0.016313578,0.048361358,0.33732672,0.735870619,0.822021908,OK
Mylip,Mylip,347.7753013,0.086334341,0.069427096,1.243525169,0.213674372,0.339578295,OK
Gmpr,Gmpr,2446.340248,0.337569994,0.087434645,3.86082652,0.000113004,0.00082484,OK
Atxn1,Atxn1,384.552258,0.187252883,0.069045072,2.712038338,0.006687086,0.022978924,OK
Stmnd1,Stmnd1,0.639134084,-0.103231792,0.073835854,-1.398125514,0.162075379,NaN,Low
Rbm24,Rbm24,45.7198763,-0.521007221,0.140553138,-3.706834499,0.000209866,0.001381601,OK
Cap2,Cap2,31.4269329,-0.586073669,0.140304207,-4.177163916,2.95E-05,0.000273665,OK
Fam8a1,Fam8a1,266.2570918,0.125853826,0.101672582,1.237834459,0.215777448,0.342155343,OK
Nup153,Nup153,1391.693708,0.059782734,0.050175088,1.191482399,0.233464262,0.362241146,OK
Kif13a,Kif13a,616.989806,0.0082769,0.054826435,0.150965506,0.880002926,0.924271775,OK
Nhlrc1,Nhlrc1,166.9288673,0.159922974,0.080155171,1.99516728,0.046024638,0.102845916,OK
Tpmt,Tpmt,72.30707913,-0.051459205,0.114988614,-0.447515657,0.654502785,0.758007901,OK
Kdm1b,Kdm1b,406.0262498,0.112889606,0.052985354,2.130581348,0.033123648,0.080237371,OK
Dek,Dek,692.974344,0.166055528,0.069033466,2.405435169,0.016153218,0.045967347,OK
Rnf144b,Rnf144b,12.17740573,-0.1729089,0.161667734,-1.069532531,0.284829778,0.419814989,OK
A930002C04Rik,A930002C04Rik,0,NaN,NaN,NaN,NaN,NaN,Low
G630093K05Rik,G630093K05Rik,0,NaN,NaN,NaN,NaN,NaN,Low
4931429P17Rik,4931429P17Rik,0.807853631,-0.046709381,0.081157609,-0.575539153,0.564926719,NaN,Low
A330033J07Rik,A330033J07Rik,2.118437557,-0.089927191,0.12153835,-0.739907946,0.459355853,NaN,Low
Id4,Id4,48.06709569,-0.263964481,0.127106562,-2.076717963,0.037827598,0.088862885,OK
A330048O09Rik,A330048O09Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Zfp169,Zfp169,196.3683432,-0.053074545,0.08133968,-0.652504961,0.514075473,0.642547642,OK
Mirlet7d,Mirlet7d,0.854873208,0.014291717,0.091909135,0.155498328,0.876428472,NaN,Low
Mirlet7f-1,Mirlet7f-1,0.31408293,0.027351858,0.04820729,0.567380124,0.570455951,NaN,Low
Mirlet7a-1,Mirlet7a-1,0.344530653,-0.057194537,0.062617166,-0.913400285,0.361032056,NaN,Low
Ptpdc1,Ptpdc1,682.6942819,0.265670225,0.062722671,4.235633178,2.28E-05,0.000222004,OK
Barx1,Barx1,0.934119033,-0.076297158,0.091162701,-0.836933938,0.402629702,NaN,Low
Phf2,Phf2,2792.289285,0.077113261,0.057652857,1.337544484,0.181044972,0.298292444,OK
Fam120a,Fam120a,5819.297646,-0.059559439,0.029941821,-1.989172219,0.046682197,0.103982573,OK
Fam120aos,Fam120aos,918.69691,0.354003179,0.08899187,3.977927204,6.95E-05,0.000550349,OK
Wnk2,Wnk2,612.9666352,-0.252651485,0.073416007,-3.441367843,0.000578781,0.003186654,OK
Ninj1,Ninj1,1489.933474,-0.05323333,0.053670518,-0.991854227,0.321268641,0.457544273,OK
1110007C09Rik,1110007C09Rik,391.7394163,-0.315502419,0.071277876,-4.42637234,9.58E-06,0.000109507,OK
Susd3,Susd3,5.72267668,0.018686964,0.162387972,0.115076033,0.908384856,NaN,Low
Fgd3,Fgd3,26.05399412,-0.061014616,0.152065062,-0.401240201,0.688243286,0.784941924,OK
Bicd2,Bicd2,839.3592486,-0.053320689,0.054375486,-0.980601609,0.32678924,0.463439822,OK
Ippk,Ippk,598.6160572,-0.240791809,0.055163489,-4.365057652,1.27E-05,0.000137623,OK
Cenpp,Cenpp,8.869811328,0.543218329,0.164372433,3.304801902,0.000950436,NaN,Low
Ecm2,Ecm2,3.967910894,0.02405058,0.14077731,0.170841308,0.864348547,NaN,Low
Aspn,Aspn,9.853008509,0.367381891,0.158727272,2.314548014,0.020637681,NaN,Low
Omd,Omd,0,NaN,NaN,NaN,NaN,NaN,Low
Ogn,Ogn,0.343746434,-0.001175737,0.059840747,-0.019647764,0.984324361,NaN,Low
Nol8,Nol8,804.5950002,-0.037322539,0.053076127,-0.703188826,0.481938082,0.613298749,OK
Iars,Iars,2674.261254,-0.187357648,0.058291482,-3.214151374,0.001308307,0.006110317,OK
Gm906,Gm906,0,NaN,NaN,NaN,NaN,NaN,Low
2310081J21Rik,2310081J21Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Fbxw17,Fbxw17,145.3077737,0.016743732,0.084216264,0.198818273,0.842404902,0.899269444,OK
Nutm2,Nutm2,0,NaN,NaN,NaN,NaN,NaN,Low
Mir683-1,Mir683-1,0,NaN,NaN,NaN,NaN,NaN,Low
Mir683-2,Mir683-2,0,NaN,NaN,NaN,NaN,NaN,Low
Gm904,Gm904,0,NaN,NaN,NaN,NaN,NaN,Low
Gm8765,Gm8765,0,NaN,NaN,NaN,NaN,NaN,Low
4930518P08Rik,4930518P08Rik,0,NaN,NaN,NaN,NaN,NaN,Low
9430083A17Rik,9430083A17Rik,28.46514394,-0.276997763,0.143095164,-1.935759085,0.052897214,0.114706504,OK
Spin1,Spin1,905.0117603,0.001084559,0.060232086,0.018006332,0.985633802,0.990673934,OK
Nxnl2,Nxnl2,3.782590296,-0.143630993,0.144264306,-0.995610045,0.319439652,NaN,Low
S1pr3,S1pr3,160.6536309,0.195175886,0.160960656,1.212568906,0.225294683,0.353498636,OK
Shc3,Shc3,1.166950036,-0.069455285,0.109876994,-0.632118546,0.527309418,NaN,Low
Cks2,Cks2,9.319105327,0.264781275,0.164223701,1.612320716,0.106892168,NaN,Low
Secisbp2,Secisbp2,493.5936259,-0.148183834,0.055041886,-2.692201239,0.00709821,0.024108682,OK
Sema4d,Sema4d,813.5417928,0.064185712,0.056727013,1.131484076,0.257851402,0.389779987,OK
Gadd45g,Gadd45g,1065.172702,-0.15338293,0.132970507,-1.153510902,0.248700746,0.379553063,OK
4921525O09Rik,4921525O09Rik,3.487221913,-0.01564065,0.146631425,-0.106666426,0.915053618,NaN,Low
Diras2,Diras2,403.2668376,-0.418965089,0.163100263,-2.568757906,0.010206373,0.032203663,OK
