"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"CLIP1",0.544270405524252,-0.286402295751581,0.74,0.779,1
"EGR1",0.557797756543458,-0.261333875562467,0.852,0.889,1
"PTEN",0.599320668043542,-0.566760101086553,0.816,0.763,1
"GALNS",0.659514308169783,0.307486216278849,0.22,0.218,1
"NUDT19",0.66814726352339,-0.326197779350873,0.453,0.393,1
"RELL1",0.734649797547259,-0.336885900646516,0.573,0.554,1
"TOB1",0.739160573522156,-0.284468912729037,0.726,0.715,1
"PFKFB2",0.761838421755359,-0.570336846043577,0.868,0.844,1
"COX6B1",0.797745654231134,-0.266713220357299,0.941,0.939,1
"TTR",0.803552487104698,-0.444726319777772,0.991,0.995,1
"ETNK1",0.826844929992806,-0.288875399488193,0.846,0.818,1
"TMEM33",0.861659337415409,-0.403740330555354,0.818,0.798,1
"MT1F",0.940349358456188,-0.366686831359529,0.671,0.656,1
